           n      sorted    reversed    shuffled
     1048576       0.256       0.252       0.342
     2097152       0.492       0.492       0.783
     4194304       1.016       1.055       1.869
     8388608       2.128       2.185       4.406
    16777216       4.477       4.612      10.219
    33554432      10.045       9.953      23.694
    67108864      21.341      20.940      54.892
   134217728      44.204      44.992     124.482
   268435456      87.515      89.877     273.046
   536870912     178.612     187.829     608.907
