           n      sorted    reversed    shuffled
     1048576       0.121       0.126       0.106
     2097152       0.246       0.237       0.204
     4194304       0.530       0.516       0.431
     8388608       1.037       1.034       0.963
    16777216       2.214       2.237       1.901
    33554432       4.596       4.436       3.658
    67108864       8.939       8.761       7.928
   134217728      18.417      17.894      16.479
   268435456      40.314      39.111      35.005
   536870912      79.506      77.795      70.617
