           n      sorted    reversed    shuffled
     1048576       0.208       0.214       0.285
     2097152       0.409       0.431       0.603
     4194304       0.874       0.901       1.258
     8388608       1.812       1.915       2.742
    16777216       3.759       3.946       5.450
    33554432       7.886       8.175      11.310
    67108864      16.375      17.082      23.805
   134217728      33.825      35.200      48.805
   268435456      69.995      73.211     103.370
   536870912     148.227     151.381     222.277
