           n      sorted    reversed    shuffled
     1048576       0.864       0.856       0.822
     2097152       1.686       1.716       1.791
     4194304       3.410       3.568       3.508
     8388608       7.125       6.986       6.941
    16777216      14.142      14.142      14.489
    33554432      27.768      26.490      27.808
    67108864      52.781      50.924      53.112
   134217728     110.631     105.412     109.435
   268435456     214.401     214.815     214.127
   536870912     415.318     409.425     426.505
