           n      sorted    reversed    shuffled
     1048576       0.137       0.270       0.138
     2097152       0.283       0.562       0.285
     4194304       0.582       1.160       0.595
     8388608       1.153       2.379       1.185
    16777216       2.358       4.852       2.415
    33554432       4.781       9.909       4.903
    67108864       9.682      20.341       9.873
   134217728      19.705      41.548      20.074
   268435456      39.941      86.734      41.008
   536870912      81.310     174.795      83.141
