           n      sorted    reversed    shuffled
     1048576       0.529       0.232       0.373
     2097152       1.213       0.551       0.848
     4194304       2.284       1.070       1.972
     8388608       5.030       2.175       4.619
    16777216      10.593       5.067      11.362
    33554432      24.209      10.883      24.901
    67108864      48.098      21.712      57.306
   134217728     101.779      47.113     128.681
   268435456     201.893      94.160     288.604
   536870912     431.802     195.378     644.244
