           n      sorted    reversed    shuffled
     1048576       1.607       1.629       1.709
     2097152       3.302       3.254       3.443
     4194304       6.748       6.639       6.906
     8388608      13.228      13.239      13.923
    16777216      26.633      26.861      28.497
    33554432      53.615      53.796      57.160
    67108864     107.764     108.448     114.568
   134217728     216.905     216.995     229.813
   268435456     464.140     461.210     491.826
   536870912     920.322     966.941     991.163
