           n      sorted    reversed    shuffled
     1048576       0.190       0.318       0.383
     2097152       0.390       0.727       0.845
     4194304       0.801       1.296       1.628
     8388608       1.629       2.650       3.320
    16777216       3.013       5.378       6.747
    33554432       6.190      11.118      13.833
    67108864      12.167      24.698      29.767
   134217728      24.738      46.454      59.174
   268435456      49.047      93.776     120.677
   536870912      95.948     194.444     239.822
